Version:,1,,Date:,9/3/2015
Measure,Time,MSPerQuarter,MSPerMeasure,Frames
377,1.5,480,720,270720
378,1.5,480,720,271440
379,1.5,480,720,272160
380,1.5,480,720,272880
381,1.5,480,720,273600
382,1.5,480,720,274320
383,1.5,480,720,275040
384,1.5,480,720,275760
385,1.5,480,720,276480
386,1.5,480,720,277200
387,1.5,480,720,277920
388,1.5,480,720,278640
389,1.5,480,720,279360
390,1.5,480,720,280080
391,1.5,480,720,280800
392,1.5,480,720,281520
393,1.5,480,720,282240
394,1.5,480,720,282960
395,1.5,480,720,283680
396,1.5,480,720,284400
397,1.5,480,720,285120
398,1.5,480,720,285840
399,1.5,480,720,286560
400,1.5,480,720,287280
401,1.5,480,720,288000
402,1.5,480,720,288720
403,1.5,480,720,289440
404,1.5,480,720,290160
405,1.5,480,720,290880
406,1.5,480,720,291600
407,1.5,480,720,292320
408,1.5,480,720,293040
409,1.5,480,720,293760
410,1.5,480,720,294480
411,1.5,480,720,295200
412,1.5,480,720,295920
413,1.5,480,720,296640
414,1.5,480,720,297360
415,1.5,480,720,298080
416,1.5,480,720,298800
417,1.5,480,720,299520
418,1.5,480,720,300240
419,1.5,480,720,300960
420,1.5,480,720,301680
421,1.5,480,720,302400
422,1.5,480,720,303120
423,1.5,480,720,303840
424,1.5,480,720,304560
425,1.5,480,720,305280
426,1.5,480,720,306000
427,1.5,480,720,306720
428,1.5,480,720,307440
429,1.5,480,720,308160
430,1.5,480,720,308880
431,1.5,480,720,309600
432,1.5,480,720,310320
433,1.5,480,720,311040
434,1.5,480,720,311760
435,1.5,480,720,312480
436,1.5,480,720,313200
437,1.5,480,720,313920
438,1.5,480,720,314640
439,1.5,480,720,315360
440,1.5,480,720,316080
441,1.5,480,720,316800
442,1.5,480,720,317520
443,1.5,480,720,318240
444,1.5,480,720,318960
445,1.5,480,720,319680
446,1.5,480,720,320400
447,1.5,480,720,321120
448,1.5,480,720,321840
449,1.5,480,720,322560
450,1.5,480,720,323280
451,1.5,480,720,324000
452,1.5,480,720,324720
453,1.5,480,720,325440
454,1.5,480,720,326160
455,1.5,480,720,326880
456,1.5,480,720,327600
457,1.5,480,720,328320
458,1.5,480,720,329040
459,1.5,480,720,329760
460,1.5,480,720,330480
461,1.5,480,720,331200
462,1.5,480,720,331920
463,1.5,480,720,332640
464,1.5,480,720,333360
465,1.5,480,720,334080
466,1.5,480,720,334800
467,1.5,480,720,335520
468,1.5,480,720,336240
469,1.5,480,720,336960
470,1.5,480,720,337680
471,1.5,480,720,338400
472,1.5,480,720,339120
473,1.5,480,720,339840
474,1.5,480,720,340560
475,1.5,480,720,341280
476,1.5,480,720,342000
477,1.5,480,720,342720
478,1.5,480,720,343440
479,1.5,480,720,344160
480,1.5,480,720,344880
481,1.5,480,720,345600
482,1.5,480,720,346320
483,1.5,480,720,347040
484,1.5,480,720,347760
485,1.5,480,720,348480
486,1.5,480,720,349200
487,1.5,480,720,349920
488,1.5,480,720,350640
489,1.5,480,720,351360
490,1.5,480,720,352080
491,1.5,480,720,352800
492,1.5,480,720,353520
493,1.5,480,720,354240
494,1.5,480,720,354960
495,1.5,480,720,355680
496,1.5,480,720,356400
497,1.5,480,720,357120
498,1.5,480,720,357840
499,1.5,480,720,358560
500,1.5,480,720,359280
501,1.5,480,720,360000
502,1.5,480,720,360720
503,1.5,480,720,361440
504,1.5,480,720,362160
505,1.5,480,720,362880
506,1.5,480,720,363600
507,1.5,480,720,364320
508,1.5,480,720,365040
509,1.5,480,720,365760
510,1.5,480,720,366480
511,1.5,480,720,367200
512,1.5,480,720,367920
513,1.5,480,720,368640
514,1.5,480,720,369360
515,1.5,480,720,370080
516,1.5,480,720,370800
517,1.5,480,720,371520
518,1.5,480,720,372240
519,1.5,480,720,372960
520,1.5,480,720,373680
521,1.5,480,720,374400
522,1.5,480,720,375120
523,1.5,480,720,375840
524,1.5,480,720,376560
525,1.5,480,720,377280
526,1.5,480,720,378000
527,1.5,480,720,378720
528,1.5,480,720,379440
529,1.5,480,720,380160
530,1.5,480,720,380880
531,1.5,480,720,381600
532,1.5,480,720,382320
533,1.5,480,720,383040
534,1.5,480,720,383760
535,1.5,480,720,384480
536,1.5,480,720,385200
537,1.5,480,720,385920
538,1.5,480,720,386640
539,1.5,480,720,387360
540,1.5,480,720,388080
541,1.5,480,720,388800
542,1.5,480,720,389520
543,1.5,480,720,390240
544,1.5,480,720,390960
545,1.5,480,720,391680
546,1.5,480,720,392400
547,1.5,480,720,393120
548,1.5,480,720,393840
549,1.5,480,720,394560
550,1.5,480,720,395280
551,1.5,480,720,396000
552,1.5,480,720,396720
553,1.5,480,720,397440
554,1.5,480,720,398160
555,1.5,480,720,398880
556,1.5,480,720,399600
557,1.5,480,720,400320
558,1.5,480,720,401040
559,1.5,480,720,401760
560,1.5,480,720,402480
561,1.5,480,720,403200
562,1.5,480,720,403920
563,1.5,480,720,404640
564,1.5,480,720,405360
565,1.5,480,720,406080
566,1.5,480,720,406800
567,1.5,480,720,407520
568,1.5,480,720,408240
569,1.5,480,720,408960
570,1.5,480,720,409680
571,1.5,480,720,410400
572,1.5,480,720,411120
573,1.5,480,720,411840
574,1.5,480,720,412560
575,1.5,480,720,413280
576,1.5,480,720,414000
577,1.5,480,720,414720
578,1.5,480,720,415440
579,1.5,480,720,416160
580,1.5,480,720,416880
581,1.5,480,720,417600
582,1.5,480,720,418320
583,1.5,480,720,419040
584,1.5,480,720,419760
585,1.5,480,720,420480
586,1.5,480,720,421200
587,1.5,480,720,421920
588,1.5,480,720,422640
589,1.5,480,720,423360
590,1.5,480,720,424080
591,1.5,480,720,424800
592,1.5,480,720,425520
593,1.5,480,720,426240
594,1.5,480,720,426960
595,1.5,480,720,427680
596,1.5,480,720,428400
597,1.5,480,720,429120
598,1.5,480,720,429840
599,1.5,480,720,430560
600,1.5,480,720,431280
601,1.5,480,720,432000
602,1.5,480,720,432720
603,1.5,480,720,433440
604,1.5,480,720,434160
605,1.5,480,720,434880
606,1.5,480,720,435600
607,1.5,480,720,436320
608,1.5,480,720,437040
609,1.5,480,720,437760
610,1.5,480,720,438480
611,1.5,480,720,439200
612,1.5,480,720,439920
613,1.5,480,720,440640
614,1.5,480,720,441360
615,1.5,480,720,442080
616,1.5,480,720,442800
617,1.5,480,720,443520
618,1.5,480,720,444240
619,1.5,480,720,444960
620,1.5,480,720,445680
621,1.5,480,720,446400
622,1.5,480,720,447120
623,1.5,480,720,447840
624,1.5,480,720,448560
625,1.5,480,720,449280
626,1.5,480,720,450000
627,1.5,480,720,450720
628,1.5,480,720,451440
629,1.5,480,720,452160
630,1.5,480,720,452880
631,1.5,480,720,453600
632,1.5,480,720,454320
633,1.5,480,720,455040
634,1.5,480,720,455760
635,1.5,480,720,456480
636,1.5,480,720,457200
637,1.5,480,720,457920
638,1.5,480,720,458640
639,1.5,480,720,459360
640,1.5,480,720,460080
641,1.5,480,720,460800
642,1.5,480,720,461520
643,1.5,480,720,462240
644,1.5,480,720,462960
645,1.5,480,720,463680
646,1.5,480,720,464400
647,1.5,480,720,465120
648,1.5,480,720,465840
649,1.5,480,720,466560
650,1.5,480,720,467280
651,1.5,480,720,468000
652,1.5,480,720,468720
653,1.5,480,720,469440
654,1.5,480,720,470160
655,1.5,480,720,470880
656,1.5,480,720,471600
657,1.5,480,720,472320
658,1.5,480,720,473040
659,1.5,480,720,473760
660,1.5,480,720,474480
661,1.5,480,720,475200
662,1.5,480,720,475920
663,1.5,480,720,476640
664,1.5,480,720,477360
665,1.5,480,720,478080
666,1.5,480,720,478800
667,1.5,480,720,479520
668,1.5,480,720,480240
669,1.5,480,720,480960
670,1.5,480,720,481680
671,1.5,480,720,482400
672,1.5,480,720,483120
673,1.5,480,720,483840
674,1.5,480,720,484560
675,1.5,480,720,485280
676,1.5,480,720,486000
677,1.5,480,720,486720
678,1.5,480,720,487440
679,1.5,480,720,488160
680,1.5,480,720,488880
681,1.5,480,720,489600
682,1.5,480,720,490320
683,1.5,480,720,491040
684,1.5,480,720,491760
685,1.5,480,720,492480
686,1.5,480,720,493200
687,1.5,480,720,493920
688,1.5,480,720,494640
689,1.5,480,720,495360
690,1.5,480,720,496080
691,1.5,480,720,496800
692,1.5,480,720,497520
693,1.5,480,720,498240
694,1.5,480,720,498960
695,1.5,480,720,499680
696,1.5,480,720,500400
697,1.5,480,720,501120
698,1.5,480,720,501840
699,1.5,480,720,502560
700,1.5,480,720,503280
701,1.5,480,720,504000
702,1.5,480,720,504720
703,1.5,480,720,505440
704,1.5,480,720,506160
705,1.5,480,720,506880
706,1.5,480,720,507600
707,1.5,480,720,508320
708,1.5,480,720,509040
709,1.5,480,720,509760
710,1.5,480,720,510480
711,1.5,480,720,511200
712,1.5,480,720,511920
713,1.5,480,720,512640
714,1.5,480,720,513360
715,1.5,480,720,514080
716,1.5,480,720,514800
717,1.5,480,720,515520
718,1.5,480,720,516240
719,1.5,480,720,516960
720,1.5,480,720,517680
721,1.5,480,720,518400
722,1.5,480,720,519120
723,1.5,480,720,519840
724,1.5,480,720,520560
725,1.5,480,720,521280
726,1.5,480,720,522000
727,1.5,480,720,522720
728,1.5,480,720,523440
729,1.5,480,720,524160
730,1.5,480,720,524880
731,1.5,480,720,525600
732,1.5,480,720,526320
733,1.5,480,720,527040
